headline,source,intro
"Apple WWDC Interview: Craig Federighi and Joz on Siri delay, new Apple Intelligence features and what's next for AI",Tom's Guide,"Apple Intelligence is still very much a work in progress, but Apple seems focused on delivering the Siri that was promised along with a wide range of AI-..."
"WWDC: Yes but Siri will get smart one day, but not today",Apple Must,At the edge of WWDC 2025 Apple confessed that it doesn't now expect the long-awaited contextually-aware Siri to ship before next year.
Apple Says Personalized Siri Features Shown at WWDC Last Year Were 'Real' and 'Working',MacRumors,Apple first announced the personalized Siri features during its WWDC 2024 keynote. The new capabilities will include better understanding of a user's personal...
Apple Targets Spring 2026 for Release of Delayed Siri AI Upgrade,Bloomberg.com,"Apple Inc. has set an internal release target of spring 2026 for its delayed upgrade of Siri, marking a key step in its artificial intelligence turnaround..."
Apple might finally release Siri's AI upgrade with iOS 26.4 next year,Pocket-lint,"At its recent WWDC 2025 keynote, Apple mentioned Siri only twice, and for good reason. Earlier this year, the Cupertino-based company had to delay some of..."
One unmentionable word sums up Apple’s battle with Google,AFR,"At its developers conference the week, Apple refused to talk about its delayed updates to Siri. But it did reveal other changes that will help it catch its..."
Apple pushes Siri overhaul to 2026 after initial AI Framework rebuild,DIGITIMES Asia,"Apple executives have confirmed that the company's revamped Siri voice assistant will not launch as originally planned, pushing its debut to 2026."
Apple's WWDC faceplant costs it $75 billion,Fudzilla.com,Jobs' Mob shares nosedived six minutes into its WWDC keynote slipping from $206 to below $201. Things went south when someone mentioned Siri.
Apple’s big Siri upgrade still doesn’t have a launch date. Why AI can be hard to predict,CNN,"At WWDC, Apple said it still needs time to develop its more advanced version of Siri. It's another sign that shift to AI is unfolding differently from how..."
Apple’s upgraded Siri might not arrive until next spring,The Verge,Apple is aiming to launch the upgraded Siri that it originally previewed at WWDC 2024 in spring 2026 with iOS 26.4.
Apple executives say new AI-powered Siri wasn’t ‘demoware’ — it just wasn’t ready to ship,TechCrunch,"In a handful of interviews following Apple's Worldwide Developers Conference (WWDC 25), Apple executives denied that last year's demonstrations of a..."
Apple’s AI-powered Siri reportedly has a new target date. Will it stick this time?,Laptop Mag,"Apple's overhauled Siri was supposed to come out this year, but it didn't, and it wasn't even shown at this year's WWDC. So when is it coming out?"
Apple unveils a new look but the wait for AI Siri continues,The Sydney Morning Herald,"Cupertino, California: Apple has made a number of announcements at its annual worldwide developer conference (WWDC) overnight, including a visual overhaul..."
What WWDC Tells Us About the Future of Apple and the iPhone,Business Insider,"The lack of a Siri upgrade at WWDC 2025 creates a potential ""intelligence gap"" with competitors and puts pressure on Apple's future AI strategy."
