company,title,date
Futu Holdings Limited,Fresh Grad Hire - Machine Learning Engineer (Large Model Applications),2026-01-30
Futu Holdings Limited,Fresh Grad Hire - Client Development Engineer (Market Data),2026-02-03
Manulife,Data Scientist(Manager level) - VOICE,2026-01-15
Futu Holdings Limited,Fresh Grad Hire - System Testing Engineer (OTC Trading Platform),2026-02-03
Bloomberg,Data Science Product Specialist (12 months contract),2026-02-02
Futu Holdings Limited,Fresh Grad Hire - Backend Developer (Financial Securities System R&D Focus),2026-02-03
Futu Holdings Limited,Fresh Grad Hire - System Testing Engineer (Banking Business),2026-02-03
FCC ANALYTICS,Machine Learning Engineer,2025-12-04
Shangri-La Group,"Senior Manager, Data Scientist",2026-01-16
Polymer Capital,"Data Scientist, Risk & Quant Analytics",2025-12-10
NEWBYERA TECHNOLOGY LIMITED,AI Engineer,2026-01-21
Kody,后端工程师 (Kotlin) - (HK),2025-09-25
AXA Hong Kong and Macau,Data Science Manager,2025-09-22
FCC ANALYTICS,AI Engineer (LLM),2025-11-20
Prolific,AI Trainer - Hong Kong,2026-01-17
Visa,Senior Data Scientist (10 months contractor),2025-12-29
Airwallex,"Senior Data Scientist, Algorithm (Risk & Fraud)",2026-01-28
AXA Hong Kong and Macau,Assistant Data Science Manager,2025-11-28
Millennium,Quantitative developer/Data Scientist,2026-01-25
Wati,Software Engineer II - Data,2025-11-26
Crypto.com,(Senior) DevOps Engineer- AI Innovation,2026-01-24
Wati,Software Developer I (Full Stack / Backend),2025-11-17
Agoda,"Staff Machine Learning Engineer (India based, relocation provided)",2026-01-25
China Tourism Group,助理工程师,2025-02-23
Crypto.com,Analytics Engineer- Data Operations & Governance,2026-01-19
Wati,Devops Engineer I - Shenzhen,2025-11-17
合肥科迈捷智能传感技术有限公司,计算流体动力学研究员,2025-02-23
Crypto.com,Trading Java Developer,2026-01-19
Wati,Software Engineer II - Mobile,2025-12-04
Wati,Backend Software Engineer (AI Agent)- Shenzhen,2025-10-30
Futu Holdings Limited,Senior Backend Developer (Web 3),2026-02-03
Ergonia,DeFi Engineer,2025-11-26
ASTRI - Hong Kong Applied Science and Technology Research Institute,"Lead Engineer, Machine Learning Algorithm and Software",2026-01-18
Wati,Backend Software Engineer (AI + Audio) - China,2025-11-17
Schonfeld,Quantitative Research / Developer - Intern,2026-01-19
Crypto.com,Senior DataOps Engineer - MainApp infrastructure,2026-01-22
Argyll Scott,LLM Developer/Retail/30-50K HKD P/M/Extendable Contract,2026-02-02
Manulife,Senior AI Engineer Lead - Asia Data Office,2026-02-02
Wati,Software Developer I/II (Frontend),2026-01-22
Crypto.com,Senior Quality Assurance Automation Engineer (Crypto.com APP),2026-01-21
Quickplay,"Director, Solution Engineering",2024-10-04
Crypto.com,Blockchain Defi Developer - Quant Trading Team,2026-01-21
Crypto.com,Senior Software Engineer (Golang/Ruby on Rails) - Fiat,2026-01-30
China Tourism Group,运营管理部-运营分析室/综合管理室运营分析岗,2025-02-23
Karmo International Company Limited,Robotics Engineer – Software (Internship),2025-05-15
CoinMarketCap,Software Development Engineer in Test (SDET),2025-09-16
Polymer Capital,"Software Developer, Development Lab",2025-09-23
Crypto.com,Senior FullStack Developer (React Native)- MainApp Web,2026-01-27
Crypto.com,Senior Backend Developer,2026-01-22
AVISTA GROUP,Software Engineer,2025-09-17
Selby Jennings,Senior Machine Learning Quantitative Researcher,2026-02-03
Wati,QA Engineer,2025-07-18
Arup,Graduate Digital Engineer (2026),2026-02-02
Wati,Software Engineer II - Backend,2025-12-08
Futu Holdings Limited,Testing Engineer (Wallet & Digital Assets),2026-01-14
CoinMarketCap,LLM Algorithm Engineer,2025-04-29
ASTRI - Hong Kong Applied Science and Technology Research Institute,Senior Engineer (PI) / Engineer (PI),2026-01-31
Crypto.com,Senior Mobile Developer / Mobile Developer (React Native),2026-02-03
Crypto.com,Analytics Engineer- Data Operations & Governance,2026-01-19
Wati,Devops Engineer I - Shenzhen,2025-11-17
合肥科迈捷智能传感技术有限公司,计算流体动力学研究员,2025-02-23
Crypto.com,Trading Java Developer,2026-01-19
Wati,Software Engineer II - Mobile,2025-12-04
Wati,Backend Software Engineer (AI Agent)- Shenzhen,2025-10-30
Futu Holdings Limited,Senior Backend Developer (Web 3),2026-02-03
Ergonia,DeFi Engineer,2025-11-26
ASTRI - Hong Kong Applied Science and Technology Research Institute,"Lead Engineer, Machine Learning Algorithm and Software",2026-01-18
Wati,Backend Software Engineer (AI + Audio) - China,2025-11-17
AVISTA GROUP,Software Engineer,2025-09-17
Selby Jennings,Senior Machine Learning Quantitative Researcher,2026-02-03
Wati,QA Engineer,2025-07-18
Arup,Graduate Digital Engineer (2026),2026-02-02
Wati,Software Engineer II - Backend,2025-12-08
Futu Holdings Limited,Testing Engineer (Wallet & Digital Assets),2026-01-14
CoinMarketCap,LLM Algorithm Engineer,2025-04-29
ASTRI - Hong Kong Applied Science and Technology Research Institute,Senior Engineer (PI) / Engineer (PI),2026-01-31
Crypto.com,Senior Mobile Developer / Mobile Developer (React Native),2026-02-03
Crypto.com,"Senior Golang Developer - Equities, MainApp",2026-01-24
ASTRI - Hong Kong Applied Science and Technology Research Institute,"Senior Engineer / Engineer, Smart Mobility",2026-02-03
Nex,QA Engineer,2026-01-31
SAS,Careerstart@SAS Program | Technical Intern – Education Team HK,2026-01-17
Schonfeld,Quantitative Developer,2026-01-29
CJOL.com,系統工程師,2025-02-23
Wati,Software Engineer II - Backend,2025-08-15
Lalamove,Senior Data Platform Engineer,2026-01-20
Michael Page,"Data Reliability Engineer, Leading Banking Technology (120k)",2026-02-03
Morgan Stanley,"Vice President, Ultra Low Latency Exchange Connectivity, C++ Software Engineer",2026-02-04
Control Risks,Researcher- Third-Party Due Diligence,2026-01-17
Kody,Android Engineer (Kotlin) - HK,2025-09-25
Crypto.com,Senior Product Analyst - Trading,2026-01-19
Futu Holdings Limited,"Senior Backend Developer, Trading System (Web 3)",2026-01-14
Argyll Scott,Data Analyst/Banking/22K HKD P/M/1 year experience,2026-01-30
Millennium,Off-Cycle Trading Intern - Econometrics and Data Analysis,2026-01-19
Futu Holdings Limited,Senior Testing Engineer (Trading System),2026-01-14
Hong Kong Exchanges and Clearing Limited (HKEX),Software Engineer - Associate - Markets Systems - IT,2025-11-19
Amazon Web Services (AWS),"Regional Safety Engineer, Data Center Health and Safety",2026-02-03
Futu Holdings Limited,"Senior Backend Developer, Risk (Web 3)",2026-01-14
Manulife,Full Stack Software Engineer,2026-01-22
Susquehanna International Group,C++ Developer - FIX,2026-01-30
Susquehanna International Group,C++ Strategy Developer,2026-01-30
Volga Partners,Language Data Quality Reviewer for Simplified Chinese (Freelance/Task-based),2026-01-15
Euromonitor International,Associate Consultant / Consultant,2026-01-19
CoinMarketCap,Automation QA Engineer,2025-06-05
Millennium,Off-Cycle Trading Intern - Quantitative Researcher,2026-01-30
Susquehanna International Group,C# Developer - Risk,2026-02-01
Polymer Capital,Junior Quantitative Analyst,2025-10-04
Hex Trust,API Solutions Product Specialist,2026-01-07
Hong Kong Exchanges and Clearing Limited (HKEX),"Associate, Cloud Services Engineer",2024-11-01
Kronos Research,Quantitative Researcher / Trader (Defi Trading),2025-04-14
Eclipse Trading,Low Latency C++ Engineer,2024-11-04
Lalamove,Senior Software Engineer - Backend,2026-02-01
Selby Jennings,Tier 1 Hedge Fund Senior Equities Quantitative Researcher [Singapore/Hong Kong/Shanghai/Dubai],2026-02-03
EY,Consulting - Mtel - Mobile Application Developer - Staff Associate - Hong Kong,2026-01-28
Morgan Stanley,"Java Developer, Director P4, Securities Lending Technology",2026-01-18
