company,title,date,link
Futu Holdings Limited,Fresh Grad Hire - Machine Learning Engineer (Large Model Applications),2026-01-30,https://hk.linkedin.com/jobs/view/fresh-grad-hire-machine-learning-engineer-large-model-applications-at-futu-holdings-limited-4356429874?position=1&pageNum=0&refId=B9hgQngWT0%2FxSINVrPy2ug%3D%3D&trackingId=G9xJozyNQIaBXWL%2BSj3pYg%3D%3D
First Circle,Junior Engineer,2026-02-10,https://hk.linkedin.com/jobs/view/junior-engineer-at-first-circle-4370972305?position=2&pageNum=0&refId=B9hgQngWT0%2FxSINVrPy2ug%3D%3D&trackingId=g3UPrBQXoWFS9qYTWz68Gw%3D%3D
Futu Holdings Limited,Fresh Grad Hire - Client Development Engineer (Market Data),2026-02-03,https://hk.linkedin.com/jobs/view/fresh-grad-hire-client-development-engineer-market-data-at-futu-holdings-limited-4357476265?position=3&pageNum=0&refId=B9hgQngWT0%2FxSINVrPy2ug%3D%3D&trackingId=WF4bQLCfbdd%2F0Lc6rNsg4g%3D%3D
Manulife,Data Scientist(Manager level) - VOICE,2026-02-05,https://hk.linkedin.com/jobs/view/data-scientist-manager-level-voice-at-manulife-4359087747?position=4&pageNum=0&refId=B9hgQngWT0%2FxSINVrPy2ug%3D%3D&trackingId=jqB6K68HKtTjfm8KJ1WaHA%3D%3D
FCC ANALYTICS,Machine Learning Engineer,2025-12-04,https://hk.linkedin.com/jobs/view/machine-learning-engineer-at-fcc-analytics-4308292912?position=5&pageNum=0&refId=B9hgQngWT0%2FxSINVrPy2ug%3D%3D&trackingId=Qf0gZVzcyhKRJHMIPHAc%2BQ%3D%3D
Shangri-La Group,"Senior Manager, Data Scientist",2026-02-06,https://hk.linkedin.com/jobs/view/senior-manager-data-scientist-at-shangri-la-group-4263470092?position=6&pageNum=0&refId=B9hgQngWT0%2FxSINVrPy2ug%3D%3D&trackingId=k%2BT4ZKvmOdMEC3TA3V4%2B4g%3D%3D
NEWBYERA TECHNOLOGY LIMITED,AI Engineer,2026-02-11,https://hk.linkedin.com/jobs/view/ai-engineer-at-newbyera-technology-limited-4222442214?position=7&pageNum=0&refId=B9hgQngWT0%2FxSINVrPy2ug%3D%3D&trackingId=dTO%2B3qQZvDUiwmpAsKLTsQ%3D%3D
Polymer Capital,"Data Scientist, Risk & Quant Analytics",2025-12-10,https://hk.linkedin.com/jobs/view/data-scientist-risk-quant-analytics-at-polymer-capital-4326641282?position=8&pageNum=0&refId=B9hgQngWT0%2FxSINVrPy2ug%3D%3D&trackingId=Lw7LtDhBVwqkTuRrbmh%2F7g%3D%3D
Kody,后端工程师 (Kotlin) - (HK),2025-09-25,https://hk.linkedin.com/jobs/view/%E5%90%8E%E7%AB%AF%E5%B7%A5%E7%A8%8B%E5%B8%88-kotlin-hk-at-kody-4305982055?position=9&pageNum=0&refId=B9hgQngWT0%2FxSINVrPy2ug%3D%3D&trackingId=FTxetKnda%2BED20zeZX2ySw%3D%3D
Futu Holdings Limited,Fresh Grad Hire - Client Developer (Digital Bank),2026-02-03,https://hk.linkedin.com/jobs/view/fresh-grad-hire-client-developer-digital-bank-at-futu-holdings-limited-4357426314?position=10&pageNum=0&refId=B9hgQngWT0%2FxSINVrPy2ug%3D%3D&trackingId=RgNkHF1ZLpquA%2BP9ezKBvw%3D%3D
