title,date,content
"CNBC Daily Open: U.S. economic slowdown still in the cards, Fed says","PUBLISHED THU, JUN 19 20252:30 AM EDT",
CNBC Daily Open: The prospect of an Israel-Iran ceasefire dims as Trump weighs strikes,"PUBLISHED WED, JUN 18 20252:30 AM EDT",
Japan exports fall at sharpest pace in 8 months as U.S. shipments plummet,"PUBLISHED TUE, JUN 17 20258:01 PM EDT",
"CNBC Daily Open: Iran’s desire for a ceasefire lifts U.S. markets, but could be one-sided","PUBLISHED TUE, JUN 17 20252:30 AM EDT",
"Gold outshines Treasurys, yen and Swiss franc as the ultimate safe haven","PUBLISHED TUE, JUN 17 202512:33 AM EDT",
5 things to know before the stock market opens Monday,"PUBLISHED MON, JUN 16 20258:10 AM EDT",
CNBC Daily Open: Good news on U.S. trade and inflation isn’t lifting markets,"PUBLISHED THU, JUN 12 20252:30 AM EDT",
Swiss franc’s safe haven status is proving to be a headache for the nation,"PUBLISHED WED, JUN 4 20258:47 AM EDT",
"As the TACO trade goes viral, another is gaining traction: ‘Anywhere But The USA’","PUBLISHED MON, JUN 2 20255:54 AM EDT",
India’s economy grew by faster-than-expected 7.4% in the March quarter,"PUBLISHED FRI, MAY 30 20256:48 AM EDT",
CNBC Daily Open: Certainty of ‘reciprocal’ tariffs better than confusing legal tussle,"PUBLISHED FRI, MAY 30 20252:30 AM EDT",
"Japan’s bond market ignites fears of outflows from U.S., carry trade unwind and market turmoil","PUBLISHED WED, MAY 28 20251:02 AM EDT",
Circle IPO has peculiar Facebook-like characteristic,"PUBLISHED TUE, MAY 27 20256:12 PM EDT",
U.S. stocks vs. European stocks — here is where Jim Cramer comes down on the debate,"PUBLISHED SUN, MAY 25 202512:58 PM EDT","Here’s our Club Mailbag email investingclubmailbag@cnbc.com — so you send your questions directly to Jim Cramer and his team of analysts. We can’t offer personal investing advice. We will only consider more general questions about the investment process or stocks in the portfolio or related industries. This week’s question: It seems that after DeepSeek, the Magnificent Seven, and faith in American exceptionalism, is down. China’s and Germany’s performances are up. Foreign investors have always bought up U.S. stocks -- but are now getting out in droves and buying European stocks. Are the Magnificent Seven bad investments? Should a smart investor sell big tech and largely get into Europe and China stocks? — Gary"
"Japan’s core inflation climbs to 3.5%, highest in more than 2 years","PUBLISHED THU, MAY 22 20257:43 PM EDT",
U.S. Treasury yield spike has investors rethinking the rest of the world,"PUBLISHED THU, MAY 22 202510:18 AM EDT",
The Republican spending bill is sending yields soaring and creating a major market headache,"PUBLISHED WED, MAY 21 20253:54 PM EDT",
Japan’s farm minister said he has never had to buy rice. That cost him his job,"PUBLISHED TUE, MAY 20 202511:56 PM EDT",
Trade tariffs bite: Japan’s exports to the U.S. shrink for the first time this year,"PUBLISHED TUE, MAY 20 20258:11 PM EDT",
"CNBC Daily Open: U.S. stocks are rallying, but beware the aftereffects of a head rush","PUBLISHED FRI, MAY 16 20252:30 AM EDT",
Japan assets saw record inflows in April as investors fled U.S. markets — their promise still holds,"PUBLISHED FRI, MAY 16 20251:04 AM EDT",
CNBC Daily Open: Is the trade agreement between the U.S. and China a ‘Trump put’?,"PUBLISHED TUE, MAY 13 20252:30 AM EDT",
More than half of the summer’s top trending travel destinations are in Asia,"PUBLISHED MON, MAY 12 202511:48 PM EDT",
CNBC’s The China Connection newsletter: Tourism surge defies consumption slowdown,"PUBLISHED TUE, MAY 6 202510:56 PM EDT","Monday - Friday, 10:00 - 11:00 SIN/HK | 0400 - 05:00 CET"
Bank of Japan holds rates steady for second straight meeting as Trump tariffs threaten exports,"PUBLISHED WED, APR 30 202511:09 PM EDT",
Japanese and Australian markets rise following choppy trade on Wall Street; most Asian markets closed for holiday,"PUBLISHED WED, APR 30 20257:44 PM EDT",
CNBC Daily Open: Countries are pivoting away from the U.S. amid Trump policies,"PUBLISHED MON, APR 28 20252:30 AM EDT",
CNBC’s Inside India newsletter: Have India stocks bottomed?,"PUBLISHED THU, APR 24 20259:09 AM EDT","Monday - Friday, 11:00 - 12:00 SIN/HK | 0500 - 06:00 CET"
"Asian Americans take bigger share of sports viewership, Nielsen says","PUBLISHED WED, APR 23 20259:00 AM EDT",
"CNBC Daily Open: Trump, Bessent and Musk give markets the reassurance they need","PUBLISHED WED, APR 23 20252:30 AM EDT",
CNBC Daily Open: Investors grow wary of U.S. assets as Trump intensifies attacks on Powell,"PUBLISHED TUE, APR 22 20252:30 AM EDT",
CNBC Daily Open: Trump’s threat to intervene in Fed could cause upheaval,"PUBLISHED MON, APR 21 20252:30 AM EDT",
"Japan inflation comes in at 3.6%, surpasses BOJ target for three straight years","PUBLISHED THU, APR 17 20257:39 PM EDT",
CNBC Daily Open: A trade war can be fought without tariffs,"PUBLISHED THU, APR 17 20252:30 AM EDT",
"Trump dodged a disaster from the bond market, but the damage isn’t over yet","PUBLISHED THU, APR 10 202512:51 PM EDT",
"Autos, pharma, luxury and more: The global sectors soaring after Trump’s tariffs walkback","PUBLISHED THU, APR 10 20254:45 AM EDT",
