headline,source,intro,date,datetime
What the BOJ Rate Hike Tells Us About Japan's Economy,"YouTube
 · Bloomberg Podcasts","The Bank of Japan raised its benchmark interest rate and unveiled plans to halve bond purchases, underscoring its determination to normalize monetary policy...",31 Jul 2024,2024-07-31
Bank Of Japan Increases Policy Rate To 0.25 Pct,bernama,"Japan's central bank announced on Wednesday a decision to raise its short-term interest rate to 0.25 per cent, up from the previous range of zero to 0.1 per...",31 Jul 2024,2024-07-31
Japan Raises Interest Rates for Second Time Since 2007 (Published 2024),The New York Times,"The Japanese central bank increased its target policy rate to 0.25 percent, up from a range of zero to 0.1 percent. The rate was last bumped up in March, when...",31 Jul 2024,2024-07-31
Yen surges to 150 per dollar after Bank of Japan hikes rates,MarketWatch,The Japanese yen rallied to its strongest level to the U.S. dollar in more than four months after the Bank of Japan on Wednesday surprised the majority of...,31 Jul 2024,2024-07-31
Japan’s rate hike and its impact on Gold,FXStreet,It's the Fed's interest rate day and the Bank of Japan has just hiked its rates.,31 Jul 2024,2024-07-31
Man Group’s Emily Badger: What positive interest rates means for Japan financials,Portfolio Adviser,"The Bank of Japan delved further into positive interest rate territory last night (30 July), hiking to 0.25% after ending the era of negative rates in March.",31 Jul 2024,2024-07-31
Bank of Japan delivers one-two punch few were expecting,The Japan Times,"The Bank of Japan raised rates Wednesday in a surprising and aggressive move that caught the market off guard, delivering a one-two punch of a rate change.",31 Jul 2024,2024-07-31
Japan’s Central Bank Hikes Key Rate Hours Before the Fed,Bloomberg,"The Bank of Japan raised its benchmark interest rate and unveiled plans to halve bond purchases, underscoring its determination to normalize monetary policy.",31 Jul 2024,2024-07-31
Japan raises interest rates for second time since 2007,The Straits Times,"Follow topic: ... TOKYO – For only the second time in nearly two decades, Japan's central bank on July 31 raised interest rates, a move that could help bolster...",31 Jul 2024,2024-07-31
BOJ to weigh rate hike to 0.25% at Wednesday policy meeting,Nikkei Asia,"TOKYO -- The Bank of Japan is considering raising the policy interest rate, likely to 0.25%, at its meeting that concludes Wednesday, in what would mark...",31 Jul 2024,2024-07-31
Man Group’s Emily Badger: What positive interest rates means for Japan financials,Portfolio Adviser,"The Bank of Japan delved further into positive interest rate territory last night (30 July), hiking to 0.25% after ending the era of negative rates in March.",31 Jul 2024,2024-07-31
Bank of Japan delivers one-two punch few were expecting,The Japan Times,"The Bank of Japan raised rates Wednesday in a surprising and aggressive move that caught the market off guard, delivering a one-two punch of a rate change.",31 Jul 2024,2024-07-31
Japan’s Central Bank Hikes Key Rate Hours Before the Fed,Bloomberg,"The Bank of Japan raised its benchmark interest rate and unveiled plans to halve bond purchases, underscoring its determination to normalize monetary policy.",31 Jul 2024,2024-07-31
Japan raises interest rates for second time since 2007,The Straits Times,"Follow topic: ... TOKYO – For only the second time in nearly two decades, Japan's central bank on July 31 raised interest rates, a move that could help bolster...",31 Jul 2024,2024-07-31
BOJ to weigh rate hike to 0.25% at Wednesday policy meeting,Nikkei Asia,"TOKYO -- The Bank of Japan is considering raising the policy interest rate, likely to 0.25%, at its meeting that concludes Wednesday, in what would mark...",31 Jul 2024,2024-07-31
Japan’s Ultra-Low Mortgages to See First Increase in 17 Years,Bloomberg.com,"The Bank of Japan's second interest-rate hike in nearly two decades is set to impact millions of personal mortgages, raising borrowing costs for homebuyers.",31 Jul 2024,2024-07-31
"Bank of Japan raises benchmark interest rate, outlines roadmap for trimming bond buying program",CNBC,"Japan's central bank has raised its benchmark interest rate to ""around 0.25%"" from it previous range of 0% to 0.1%. This would mark the highest interest...",31 Jul 2024,2024-07-31
Bitcoin Keeps Weekly Loss as 'Anti-Risk' Yen Strengthens After BOJ Rate Hike,CoinDesk,"The yen's popularity as a funding currency can cause knock-on effects in other markets, helping tighten global financial conditions, BlackRock said.",31 Jul 2024,2024-07-31
"BOJ raises key interest rate, aims to curb yen's slide against dollar",Business Standard,"The Bank of Japan raised its key interest rate Wednesday to about .25% from zero to about 0.1%, acting to curb the yen's slide against the U.S. dollar.",31 Jul 2024,2024-07-31
Bank of Japan raises interest rates to 0.25%,Financial Times,"Bank of Japan raises interest rates to 0.25% ... Roula Khalaf, Editor of the FT, selects her favourite stories in this weekly newsletter. The Bank of Japan has...",31 Jul 2024,2024-07-31
Bank of Japan lifts rates as Fed inches towards cut,Reuters,"The Bank of Japan raised interest rates to levels unseen in 15 years and unveiled a detailed plan to slow its massive bond buying, taking another step...",31 Jul 2024,2024-07-31
Yen surges to 150 per dollar after Bank of Japan hikes rates,MarketWatch,The Japanese yen rallied to its strongest level to the U.S. dollar in more than four months after the Bank of Japan on Wednesday surprised the majority of...,31 Jul 2024,2024-07-31
"Bank of Japan raises its key interest rate, aiming to curb yen’s slide against the dollar",AP News,"The Bank of Japan raised its key interest rate Wednesday to about 0.25% from a range of zero to about 0.1%, acting to curb the yen's slide against the US...",31 Jul 2024,2024-07-31
Bank of Japan hikes key interest rate to 0.25%,Times of India,The Bank of Japan addressed the weakening yen by raising its key interest rate to 0.25%. The move briefly strengthened the yen and boosted Tokyo's stock market.,31 Jul 2024,2024-07-31
"Bank of Japan raises interest rate to 0.25%, open to further hike this year",Nikkei Asia,"The Bank of Japan announced on Wednesday an interest rate increase and a bond tapering plan, in an aggressive move that signals the central bank's growing...",31 Jul 2024,2024-07-31
Japan’s rate hike and its impact on Gold,FXStreet,It's the Fed's interest rate day and the Bank of Japan has just hiked its rates.,31 Jul 2024,2024-07-31
