headline,source,intro,date
What the BOJ Rate Hike Tells Us About Japan's Economy,"YouTube
 · Bloomberg Podcasts","The Bank of Japan raised its benchmark interest rate and unveiled plans to halve bond purchases, underscoring its determination to normalize monetary policy...",31 Jul 2024
Bank of Japan delivers one-two punch few were expecting,The Japan Times,"The Bank of Japan raised rates Wednesday in a surprising and aggressive move that caught the market off guard, delivering a one-two punch of a rate change.",31 Jul 2024
BOJ to weigh rate hike to 0.25% at Wednesday policy meeting,Nikkei Asia,"TOKYO -- The Bank of Japan is considering raising the policy interest rate, likely to 0.25%, at its meeting that concludes Wednesday, in what would mark...",31 Jul 2024
Japan’s Ultra-Low Mortgages to See First Increase in 17 Years,Bloomberg,"The Bank of Japan's second interest-rate hike in nearly two decades is set to impact millions of personal mortgages, raising borrowing costs for homebuyers.",31 Jul 2024
"Bank of Japan’s rate hike hits highest since 2008, Metaplanet shares drop 22%",CryptoRank,"Quick Take As reported by Trading Economics, the Bank of Japan (BoJ) has raised its interest rate to 0.25%, up from 0.1% in March. This is the highest rate.",31 Jul 2024
"Bank of Japan raises benchmark interest rate, outlines roadmap for trimming bond buying program",CNBC,"Japan's central bank has raised its benchmark interest rate to ""around 0.25%"" from it previous range of 0% to 0.1%. This would mark the highest interest...",31 Jul 2024
Bank of Japan raises interest rate for second time in 17 years at 0.25%,Mint,Bank of Japan said in a statement that it had set an interest rate of 0.25 percent -- up from around zero to 0.1 percent -- having ditched its maverick negative...,31 Jul 2024
Mizuho’s unexpected profit surge defies market predictions,Bobsguide,Mizuho has reported an 18% surge in first-quarter profits as the end of negative interest rates lifted profit margins on lending.,31 Jul 2024
Bank of Japan hikes interest rates as US Federal Reserve set to signal cuts,Semafor,"Japan's central bank raised interest rates by 0.25%, a tightening of monetary policy that signals increasing confidence in the country's economic recovery.",31 Jul 2024
"Bank of Japan raises policy rate to 0.25%, second hike in 17 years",The Economic Times,The central bank said in a statement it had set an interest rate of 0.25 percent -- up from around zero to 0.1 percent -- having ditched its maverick...,31 Jul 2024
Japan confirms $36.8 billion currency intervention as weak yen pushes BOJ to hike interest rates,CNBC,"Japanese authorities spent 5.53 trillion yen, or $36.8 billion, to shore up the yen in July, official data published Wednesday showed.",31 Jul 2024
