title,date,content
Japan's Nikkei 225 hits record high on tariff and rate optimism,"Aug 12, 2025","Japan’s Nikkei 225 stock index hit an all-time record Tuesday, rising as high as ¥42,999.71 — and closing up 2.15%, at ¥42,718.17 — on trade optimism and hope for an interest rate cut in the United States. The surprise rally, which came after months of uncertainty and with the country on the cusp of recession, took the benchmark beyond its July 2024 record of ¥42,426.77. The index is now up almost 18% over the past year.  Stocks took off after Japan and the United States partially addressed their dispute on how to execute a trade deal reached on July 22, with the U.S. agreeing to revise its executive order so that Japan's “reciprocal” tariff is calculated in a way that results in a lower effective rate. U.S. interest rate expectations may have also played a role in the rally. The easing of the tariff shock has been a driver of stock performance, said Nozomi Moriya, managing director and equity strategist at UBS Securities Japan. “The market has been performing more strongly than expected,” Moriya said. “In the global market as well, although there have been concerns over tariffs, there has also been growing anticipation — particularly in the U.S. — of a shift toward monetary easing. I believe this has also been a driver.” Shares in Toyota Motor, Japan’s largest company by market capitalization, rose 2.95% on Tuesday; Honda was up 2.61%, and Mitsubishi UFJ Financial rose 4.41%. SoftBank Group shares ended the day 6.92% higher. The yen was steady, at about ¥148.2 to the dollar. The Nikkei 225 had been weighed down by tariff and rate concerns since hitting the last record. In April, it fell as low as ¥30,792.74 after reciprocal tariffs instituted by U.S. President Donald Trump came into effect. Stocks rallied as Trump retreated on implementation and as trade talks between the United States and Japan progressed, with a deal reached on July 22. Last week, Japan said that the United States agreed to change some language in the U.S. executive order on the reciprocal tariffs so that the calculation method for Japan would be in line with the method used for the European Union. In the original executive order, the reciprocal tariff was added to existing tariffs. Under the revised method, the reciprocal tariff — 15% — would operate as a cap of sorts, so tariffs lower than 15% would be taken to 15% and tariffs higher than 15% would not be increased. Recent developments in U.S.-China trade talks might also have contributed to market optimism. On Monday in Washington and Tuesday morning in Beijing, the White House and China’s Commerce Ministry issued a statement to extend the suspension of higher-rate tariffs on each other for another 90 days to allow for further negotiations. Japan's Topix, an index with far more constituents than the Nikkei 225, hit a new record on Friday. Moriya said that while the strong stock prices reflect a degree of optimism now, how the tariffs affect corporate earnings and the overall economy still needs to be monitored. “While I think the uncertainty over the tariff policy itself has come down to some extent, the effects of the tariffs themselves are something that should still be viewed cautiously,” she said. The Nikkei 225 hit 38,957.44 on Dec. 29, 1989, and traded below that level for the next three decades. At one point during that time, it was down by more than 80% from its then-record high. It finally rose to a new high on Feb. 22, 2024."
Japan's Nikkei 225 hits record high on tariff and rate optimism,"Aug 12, 2025","Japan’s Nikkei 225 stock index hit an all-time record Tuesday, rising as high as ¥42,999.71 — and closing up 2.15%, at ¥42,718.17 — on trade optimism and hope for an interest rate cut in the United States. The surprise rally, which came after months of uncertainty and with the country on the cusp of recession, took the benchmark beyond its July 2024 record of ¥42,426.77. The index is now up almost 18% over the past year.  Stocks took off after Japan and the United States partially addressed their dispute on how to execute a trade deal reached on July 22, with the U.S. agreeing to revise its executive order so that Japan's “reciprocal” tariff is calculated in a way that results in a lower effective rate. U.S. interest rate expectations may have also played a role in the rally. The easing of the tariff shock has been a driver of stock performance, said Nozomi Moriya, managing director and equity strategist at UBS Securities Japan. “The market has been performing more strongly than expected,” Moriya said. “In the global market as well, although there have been concerns over tariffs, there has also been growing anticipation — particularly in the U.S. — of a shift toward monetary easing. I believe this has also been a driver.” Shares in Toyota Motor, Japan’s largest company by market capitalization, rose 2.95% on Tuesday; Honda was up 2.61%, and Mitsubishi UFJ Financial rose 4.41%. SoftBank Group shares ended the day 6.92% higher. The yen was steady, at about ¥148.2 to the dollar. The Nikkei 225 had been weighed down by tariff and rate concerns since hitting the last record. In April, it fell as low as ¥30,792.74 after reciprocal tariffs instituted by U.S. President Donald Trump came into effect. Stocks rallied as Trump retreated on implementation and as trade talks between the United States and Japan progressed, with a deal reached on July 22. Last week, Japan said that the United States agreed to change some language in the U.S. executive order on the reciprocal tariffs so that the calculation method for Japan would be in line with the method used for the European Union. In the original executive order, the reciprocal tariff was added to existing tariffs. Under the revised method, the reciprocal tariff — 15% — would operate as a cap of sorts, so tariffs lower than 15% would be taken to 15% and tariffs higher than 15% would not be increased. Recent developments in U.S.-China trade talks might also have contributed to market optimism. On Monday in Washington and Tuesday morning in Beijing, the White House and China’s Commerce Ministry issued a statement to extend the suspension of higher-rate tariffs on each other for another 90 days to allow for further negotiations. Japan's Topix, an index with far more constituents than the Nikkei 225, hit a new record on Friday. Moriya said that while the strong stock prices reflect a degree of optimism now, how the tariffs affect corporate earnings and the overall economy still needs to be monitored. “While I think the uncertainty over the tariff policy itself has come down to some extent, the effects of the tariffs themselves are something that should still be viewed cautiously,” she said. The Nikkei 225 hit 38,957.44 on Dec. 29, 1989, and traded below that level for the next three decades. At one point during that time, it was down by more than 80% from its then-record high. It finally rose to a new high on Feb. 22, 2024."
Japan's five largest banking groups post 2.7% profit gains for April-June,"Aug 5, 2025","The combined group net profits of Japan's five major banking groups in April-June increased 2.7% from a year earlier to ¥1.375 trillion ($9.34 billion), due partly to growth in income from their lending operations reflecting interest rate hikes by the Bank of Japan, according to their earnings reports released by Monday. Net profit grew 1.5% to ¥376.8 billion at Sumitomo Mitsui Financial Group, 0.4% to ¥290.5 billion at Mizuho Financial Group and 36.2% to ¥90.8 billion at Sumitomo Mitsui Trust Group. The three groups' April-June profits are the highest since they were established.  Resona Holdings' net profit grew 27.3% to ¥70.5 billion in the first quarter of fiscal 2025. Meanwhile, Mitsubishi UFJ Financial Group saw its net profit decline 1.8% to ¥546 billion, due to a change in the accounting period at Bank of Ayudhya, a Thai subsidiary. For the full year to March 2026, Mizuho expects its group net profit will total ¥1.02 trillion, up from a previously forecast ¥940 billion and topping the ¥1 trillion threshold for the first time. Concerns about the impact of the high tariff measures of the administration of U.S. President Donald Trump, such as fundraising issues and the postponements of investment, have been limited at client companies, a Mitsubishi UFJ official indicated. The three megabank groups — Mitsubishi UFJ, Sumitomo Mitsui Financial and Mizuho — have estimated that the Trump tariffs could help reduce their fiscal 2025 profits by around ¥80 billion to ¥110 billion. But a Sumitomo Mitsui Financial official said, ""The impact could possibly be smaller than forecast."""
Factory output gain in Japan shows firms’ resilience amid tariffs,"Jul 31, 2025","Factory output in Japan unexpectedly rose in June as manufacturers showed resilience even as U.S. tariffs weigh on the nation’s exports. Industrial production gained 1.7% from the previous month, the industry ministry reported Thursday. Output of transport equipment excluding cars, up 14.8%, and electronic parts and devices drove the gains. Economists had expected a 0.8% loss. Output increased 4% from a year earlier, topping expectations of a 1.3% gain.  The output of autos, which faced tariffs totaling 27.5% on shipments to the U.S. during the period, nudged 0.1% higher from the prior month. Output for steel and non-ferrous metals declined by 0.5% after U.S. President Donald Trump doubled the duty on U.S. imports of steel and aluminum to 50% in early June. ""I think production increased in some areas to respond to rush demand in anticipation of the tariff hike,” said Yuichi Kodama, economist at Meiji Yasuda Research Institute. ""The trend is difficult to grasp due to such demand, but I think production largely remained flat on a quarterly basis.” Seasonally adjusted production advanced by 0.3% in the quarter through June from the previous period, reducing the risk that the economy may have fallen into a technical recession in the period. The gains are forecast to continue after the U.S. and Japan reached a trade agreement with terms considered more favorable to Japan than had been feared. Last week’s surprise deal will cut tariffs on U.S. imports of Japanese cars to 15% and apply the same rate on other products. Inventories fell 0.4% in June, the third straight month of month-on-month declines, bringing the index down to 99.1, the lowest in just over three years. That indicates that manufacturers have room to add product in months ahead. Manufacturers estimated monthly production will rise 1.8% in July and gain 0.8% in August, according to Thursday’s release. Separately, retail sales exceeded estimates, rising 1% in June from May and increasing 2% from a year ago. Persistent inflation has kept consumer spending from posting sustained gains as households contending with higher costs for essential goods trimmed discretionary outlays. Prime Minister Shigeru Ishiba, under pressure to do more to help households cope with inflation, has pledged cash handouts to spur consumption and undertaken steps to reduce utility costs. Ishiba’s position was weakened substantially by his party’s historic upper house election defeat earlier this month. He’s said he’d like to remain in office to ensure the implementation of the trade deal. The production data come hours before the Bank of Japan’s board concludes its latest policy meeting, where authorities are widely expected to keep the benchmark interest rate unchanged. A focus will be Gov. Kazuo Ueda’s assessment of the recent trade deal with the U.S. Officials see the possibility of mulling another interest rate hike this year after that agreement, people familiar with the matter said last week. ""It will take more time for the impact of tariffs to be confirmed in hard data, so the BOJ is unlikely to raise interest rates today,” Kodama said."
Meiji Yasuda Life to shun superlong Japanese debt for year or more,"Jul 8, 2025","Meiji Yasuda Life Insurance plans to avoid actively investing in Japanese superlong-term government bonds for the next one to two years as interest rates may rise and supply pressures build. Fiscal expansion concerns propelled Japanese government bond yields on Monday ahead of the Upper House election later this month, adding further momentum to a rise stoked by a view that inflation is quicker than the central bank’s expectations.  ""The Bank of Japan will continue to raise interest rates,” Kenichiro Kitamura, Meiji Yasuda's operating officer and general manager of investment planning and research department, said in an interview last week, while predicting that 30-year bond yields, currently at just below 3%, could rise to 3.2% to 3.3% by fiscal 2026. ""When the peak becomes apparent, it will be a good time to buy, but now is not the right time,” he added. Instead, the company is considering hedged foreign bonds as an alternative investment. U.S. interest rates are at high levels and there is room for yields to decline as the Federal Reserve may cut rates, and ""considering the risk of yen appreciation due to the narrowing U.S.-Japan interest rate differential, hedged foreign bonds are a viable option,” Kitamura said. Japanese life insurance companies, which were expected to fill the void left by a retreating BOJ as buyers of the country’s long-term debt, are holding off on significant purchases as further interest rate hikes loom. Life insurance companies’ appetite for superlong-term bonds has been declining and purchases have slowed significantly over the past few years after their buying streak to meet new solvency rules. Meiji Yasuda may gradually see its appetite for duration make a comeback as it seeks to match its long-dated liabilities on account of new product launches. In April, the insurer launched a new group pension product with an increased scheduled interest rate. It also raised the scheduled interest rate for individual savings insurance products and is focusing on acquiring new insurance contracts. ""As insurance liabilities increase, we will invest in ultra-long-term bonds,” said Kitamura."
"Komeito to propose sales tax cut on food, Yomiuri reports","Jun 4, 2025","Japan's junior ruling coalition partner, Komeito, will propose cutting the consumption tax rate for food items from 8% to 5% in a campaign pledge for the Upper House election slated in July, the Yomiuri Shimbun reported on Wednesday. The campaign pledge, to be announced on Friday, will also include a proposal to offer cash payouts to cushion the blow to households from rising living costs, the paper said.  A Komeito official confirmed the report, saying the tax cut idea will be among proposals in the campaign pledge due on Friday. The official spoke on condition of anonymity as he was not authorized to speak publicly. The proposed stimulus plan will be funded by an expected increase in tax revenues instead of additional debt issuance, according to the draft obtained by the Yomiuri. Japan applies an 8% consumption tax rate for food and 10% for other items, with the proceeds mostly used to fund social welfare costs for a rapidly aging economy. A proposal to cut the tax rate from Komeito, which is a junior coalition partner of the Liberal Democratic Party, would add pressure on Prime Minister Shigeru Ishiba to offer more fiscal support to voters ahead of the Upper House poll. Ishiba and senior LDP officials so far have pushed back against calls from opposition parties to cut the consumption tax rate, arguing that doing so would worsen Japan's already tattered finances. Concern over Japan's huge public debt, which will become more expensive to finance as the Bank of Japan eyes further interest rate hikes, has been among factors that led to a surge in super-long government bond yields last month."
Government capital is not just 'silly money',"May 18, 2025","Silicon Valley-minded venture capitalists (VCs) around the world tend to blindly criticize government capital for innovation as “silly money.” For sure, there has been a global trend to replicate concepts from Silicon Valley with regards to the “power law” of venture capital, “move fast, break things” disruption, avoidance of government and the “fake it until you make it” confidence, among others.  Nothing could be more wrong — especially when Silicon Valley is fundamentally a sui generis culture and ecosystem. Unlike Silicon Valley's predominantly private-sector-driven ecosystem, many Asian societies exhibit greater risk aversion, necessitating proactive government involvement to stimulate entrepreneurial activity. Historically, government funding and industrial policy have played a pivotal role in fostering innovation and supporting startups across Asia, starting with Japan, followed by other countries like South Korea, Singapore and Taiwan, among others. And we must not forget that, even in the establishment of the Silicon Valley ecosystem, the U.S. government and military played a big role in the postwar years and the military even laid the foundation for the invention of the internet and the semiconductor chip. In particular, the commercialization of cutting-edge fundamental research at universities carries high risks and very long gestation periods that could be unpalatable to private-sector players. Further, deep-tech and life-science research from universities are often of strategic interest to governments, particularly from the angles of national security and economic development, which typical investors may not be attracted to. Indeed, government-backed VCs, including public university VCs are more inclined to invest in early-stage companies, particularly those emerging from academic or research institutions. On the other hand, independent VCs tend to focus on later-stage investments where the risk is lower and the potential for returns is clearer. This approach often leads to underinvestment in nascent technologies and startups that require more time and support to mature. A study by Iqbal Muhammad and Stephanie Serve analyzing 3,817 firms across nine Asian developing countries from 1991 to 2017 found that government-backed startups were more likely to receive early-stage financing compared to those backed by independent VC firms. And while government-backed VCs may have a lower likelihood of successful exits compared with independent VCs, which tend to follow more rigorous due diligence processes and market-driven strategies, government-backed startups perform better in the expansion and later stages thanks to early investments aimed at unlocking exponential innovation. As examples across Asia, Singapore's government actively supports startups through initiatives like the Startup SG Equity program. Last year, an additional $338 million was allocated to this program, increasing the investment cap per startup from $6 million to $9 million. Taiwan's government has invested approximately $211.6 million over five years to support local equipment and materials suppliers in building research and development capabilities. Meanwhile, mainland China exemplifies a robust government-led approach to innovation. In 2022, tax rebates for corporate R&D reached 1.3 trillion Chinese yuan (approximately $180 billion), marking a 28.8% annual growth rate since 2018. Additionally, in 2025, China launched a 1 trillion yuan ($138 billion) government-backed venture fund targeting emerging technologies like quantum computing and artificial intelligence. With this context, a key platform to commercialize fundamental research — especially from universities and research institutions — are government-backed university VCs and incubation programs. In the early stage deep-tech space, incubators turn basic research into commercializable ideas and found companies, while university VCs would invest when startups at the seed stage are ready to create products based on their intellectual property and beyond. In 2022, the Japanese government launched the University Fund of Japan, a ¥10 trillion ($68.5 billion) endowment aimed at revitalizing the nation's research capabilities and fostering innovation. This initiative addresses concerns over declining research performance and aims to position Japanese universities as global leaders in scientific research. Profits from the investments are distributed to selected universities, with a maximum annual allocation of ¥300 billion ($2 billion). The duration is suitably long for early stage deep-tech investments — the support is structured to continue for up to 25 years, providing long-term financial stability to recipient institutions. Universities are chosen based on their strategies for research excellence and organizational reform. Tohoku University was the first institution selected under this program. Public university VCs like Kyoto-iCAP (Kyoto University Innovation Capital), where the author works, are also designed to take high risks to commercialize fundamental university research through government funding alongside private-sector limited partners. Its funds, with a capital size of more than $220 million, have a duration of 12 to 15 years to reflect the high risks and long gestation periods. Indeed, according to Global University Venturing, Japan has one of the most advanced university VC ecosystems in Asia — 85% of its top universities have an investment vehicle to support its startups. Other notable Japanese university VCs are University of Tokyo Edge Capital Partners (UTEC) — which leads the pack with an approximate capital size of $594 million, University of Tokyo Innovation Platform, Osaka University Venture Capital and Tohoku University Venture Partners. More than 40% of European institutions and more than half of Australian campuses have funds too. In contrast, only about a third of U.S. universities maintain such investment vehicles, which goes back to the U.S. and Silicon Valley having a unique private-sector-dominated ecosystem that is backed by a highly entrepreneurial and risk-taking culture. Some of the successful exits that have emerged from the university VC ecosystem are Kyoto iCAP-funded Cuorips and Chordia Therapeutics, UTEC-funded PeptiDream and Spiber, National University of Singapore-incubated and Temasek-backed VC fund Vertex-funded PatSnap and Oxford Science Enterprises-backed Oxford Nanopore Technologies and Immunocore. Going forward, especially when deep-tech fields like semiconductors, materials, clean energy, AI and life sciences become more strategically important for Asian societies, further funding from governments and universities are crucial. This can eventually scale the early stage of a deep-tech startup ecosystem and encourage risk-sharing that could attract more private-sector players.  "
MUFG expects record profit and joins rivals in buying back shares,"May 15, 2025","Mitsubishi UFJ Financial Group said it expects another year of record profit even as U.S. tariff measures cloud the outlook for Japan’s biggest banks. Net income is likely to reach ¥2 trillion ($13.7 billion) for the 12 months ending March, up 7.5% from ¥1.86 trillion in the previous fiscal year, the company said on Thursday. The projection compares with the ¥2.04 trillion average of 13 analyst estimates compiled by Bloomberg.  MUFG joins its domestic rivals in anticipating further earnings growth while also flagging risks stemming from global trade ructions. The lenders have been raking in record profits thanks to long-awaited interest-rate increases by the Bank of Japan, along with gains from sales of shares held in client companies. Tokyo-based MUFG said it plans to buy back as much as 1.5% of its shares for up to ¥250 billion. Sumitomo Mitsui Financial Group and Mizuho Financial Group also unveiled share repurchase programs earlier. Earlier Thursday, Mizuho said it expects profit will climb 6.1% to ¥940 billion this fiscal year. Sumitomo Mitsui anticipates net income to rise about 10% to ¥1.3 trillion, it said Wednesday."
Japan’s megabanks to remain buoyed by BOJ’s long game to hike rates,"May 12, 2025","Mitsubishi UFJ Financial Group, Mizuho Financial Group and Sumitomo Mitsui Financial Group will detail how much the Bank of Japan’s commitment to raise borrowing costs could help profit margins in the midst of uncertainty sparked by U.S. tariffs. The central bank stood pat earlier this month after a cycle of rate hikes since March 2024 and halving its economic growth outlook to 0.5% for this fiscal year. While the BOJ pushed back the timeline for reaching its 2% inflation target citing increased uncertainty from the trade war, Governor Kazuo Ueda emphasized that the adjustment doesn’t necessarily imply a delay in future rate hikes.  MUFG earlier raised its guidance for the fiscal year ended in March. MUFG and Mizuho had already achieved 100% of their guidance by the end of the third quarter, while SMFG stood at 98%, Morningstar analyst Michael Makdad said. All three lenders are projected to beat guidance unless they report net losses for the fourth quarter, he added. They are slated to post strong growth in net fee and interest income. ""Expect all three megabanks to exceed their guidance for the just-ended year, but I think the market’s focus is completely on the forward outlook and not results,” Makdad added. Anticipation for Japanese lenders’ shareholder returns, including share buybacks, have likely shifted lower amid the trade war, SMBC Nikko said."
Speculative traders boost bullish yen bets to a record on tariffs,"Apr 21, 2025","Speculative traders became the most bullish on the yen on record as President Donald Trump’s trade war drives the selling of U.S. assets and boosts haven demand.    The yen climbed to its strongest level since September against the dollar on Monday, briefly trading in the range of ¥140. The move comes ahead of a meeting between the finance chiefs of Japan and the U.S. that’s reported to come this week.   Net long positions on the yen among asset managers and leveraged funds climbed to an all-time high last week, according to data from the Commodity Futures Trading Commission as of April 15. At the same time, bearish dollar positions increased further.   The sell-dollar trade also gathered momentum as Trump publicly criticized Federal Reserve Chairman Jerome Powell and contemplated whether he’s able to fire him.   Japan’s currency has appreciated for three consecutive weeks against the dollar as the uncertainty surrounding the global trade war bolsters haven assets. Mizuho Securities recently lowered its year-end dollar-yen forecast to ¥133 amid the tariffs, while Nomura Securities said it now sees the pair hitting ¥137.50.   ""The risk of yen buying is considered low, and it’s natural to view yen selling and dollar buying as risky,” Koji Fukaya, a fellow at Market Risk Advisory in Tokyo, wrote in a note. ""In such an uncertain and volatile environment, the importance of interest rate differentials declines, and Japan is tolerating a strong yen while the U.S. is hoping for a weaker dollar and stronger yen.”"
